time,seconds_elapsed,dBFS
1717498765021000000,34.835,-44.8754997253418
1717498765121000000,34.935,-46.82416534423828
1717498765221000000,35.035,-42.520503997802734
1717498765321000000,35.135,-40.25571823120117
1717498765421000000,35.235,-41.19350814819336
1717498765521000000,35.335,-43.20027160644531
1717498765621000000,35.435,-29.579238891601562
1717498765738000000,35.55199975585938,-33.480857849121094
1717498765838000000,35.65200024414062,-36.85032272338867
1717498765938000000,35.75199975585937,-39.3330192565918
1717498766038000000,35.852000244140626,-41.356910705566406
1717498766138000000,35.951999755859376,-42.61695861816406
1717498766238000000,36.05200024414062,-38.443119049072266
1717498766338000000,36.15199975585937,-40.380950927734375
1717498766438000000,36.252000244140625,-40.99311065673828
1717498766538000000,36.351999755859374,-40.925045013427734
1717498766638000000,36.45200024414063,-27.00450897216797
1717498766738000000,36.55199975585938,-25.223255157470703
1717498766838000000,36.65200024414062,-29.564353942871094
1717498766938000000,36.75199975585937,-32.59067916870117
1717498767038000000,36.852000244140626,-35.60114669799805
1717498767138000000,36.951999755859376,-38.25222396850586
1717498767239000000,37.053,-39.9176025390625
1717498767339000000,37.153,-36.92154312133789
1717498767439000000,37.253,-38.49282455444336
1717498767538000000,37.351999755859374,-38.560970306396484
1717498767639000000,37.453,-35.728755950927734
1717498767755000000,37.569,-32.06740188598633
1717498767855000000,37.669,-33.99070358276367
1717498767955000000,37.769,-35.67293167114258
1717498768055000000,37.869,-36.02241134643555
1717498768155000000,37.969,-35.68021011352539
1717498768255000000,38.069,-37.665672302246094
1717498768356000000,38.17,-39.52850341796875
1717498768455000000,38.269,-35.147926330566406
1717498768555000000,38.369,-34.93622589111328
1717498768655000000,38.469,-38.1143913269043
1717498768755000000,38.569,-40.196861267089844
1717498768855000000,38.669,-34.051143646240234
1717498768955000000,38.769,-37.25400161743164
1717498769056000000,38.87,-39.478763580322266
1717498769155000000,38.969,-41.1164665222168
1717498769256000000,39.07,-43.16179275512695
1717498769356000000,39.17,-45.19998550415039
1717498769457000000,39.271,-46.07001876831055
1717498769556000000,39.37,-40.48491287231445
1717498769656000000,39.47,-42.21839904785156
1717498769772000000,39.586,-39.49928665161133
1717498769872000000,39.686,-30.26573371887207
1717498769972000000,39.786,-33.44703674316406
1717498770072000000,39.886,-36.72873306274414
1717498770172000000,39.986,-39.83078384399414
1717498770272000000,40.086,-43.151641845703125
1717498770372000000,40.186,-41.386253356933594
1717498770472000000,40.286,-43.68577194213867
1717498770572000000,40.386,-44.29296875
1717498770672000000,40.486,-46.2343635559082
1717498770773000000,40.587,-44.147438049316406
1717498770873000000,40.687,-34.42805862426758
1717498770973000000,40.787,-37.404335021972656
1717498771073000000,40.887,-39.76424789428711
1717498771173000000,40.987,-41.54084396362305
1717498771273000000,41.087,-43.0620231628418
1717498771373000000,41.187,-43.46515655517578
1717498771473000000,41.287,-41.40639114379883
1717498771573000000,41.387,-41.02033233642578
1717498771673000000,41.487,-42.50531005859375
1717498771790000000,41.60400024414062,-44.212371826171875
1717498771889000000,41.703,-33.28562927246094
1717498771989000000,41.803,-36.93340301513672
1717498772089000000,41.903,-40.03505325317383
1717498772190000000,42.00400024414063,-41.11178207397461
1717498772290000000,42.10399975585938,-42.74257278442383
1717498772390000000,42.20400024414062,-40.1783447265625
1717498772490000000,42.30399975585937,-40.40071105957031
