time,seconds_elapsed,dBFS
1716735622881000000,58.479,-103
1716735622998000000,58.596000244140626,-103
1716735623113000000,58.711,-104
1716735623230000000,58.828000244140625,-104
1716735623348000000,58.946,-66
1716735623465000000,59.063,-103
1716735623581000000,59.179,-103
1716735623700000000,59.298,-100
1716735623818000000,59.415999755859374,-100
1716735623930000000,59.527999755859376,-105
1716735624049000000,59.647,-103
1716735624165000000,59.763,-101
1716735624283000000,59.881,-79
1716735624402000000,59.99999975585938,-79
1716735624516000000,60.114,-103
1716735624632000000,60.23,-105
1716735624750000000,60.34800024414063,-107
1716735624866000000,60.463999755859376,-103
1716735624983000000,60.581,-103
1716735625102000000,60.700000244140625,-107
1716735625217000000,60.815,-107
1716735625334000000,60.932000244140625,-109
1716735625449000000,61.047,-72
1716735625566000000,61.164000244140624,-103
1716735625686000000,61.28400024414063,-105
1716735625804000000,61.402,-106
1716735625919000000,61.517,-105
1716735626034000000,61.631999755859376,-104
1716735626150000000,61.74800024414063,-106
1716735626268000000,61.866,-105
1716735626383000000,61.981,-109
1716735626504000000,62.102,-63
1716735626621000000,62.219,-96
1716735626734000000,62.33200024414062,-103
1716735626851000000,62.449,-97
1716735626968000000,62.566,-99
1716735627087000000,62.685,-107
1716735627204000000,62.802,-106
1716735627319000000,62.917,-105
1716735627436000000,63.034,-49
1716735627550000000,63.148000244140626,-72
1716735627668000000,63.266,-102
1716735627784000000,63.382,-106
1716735627901000000,63.499,-104
1716735628020000000,63.618,-104
1716735628135000000,63.733,-109
1716735628251000000,63.849,-106
1716735628370000000,63.967999755859374,-109
1716735628488000000,64.086,-64
1716735628602000000,64.19999975585938,-96
1716735628720000000,64.318,-106
1716735628836000000,64.434,-109
1716735628951000000,64.549,-108
1716735629070000000,64.66800024414063,-109
1716735629186000000,64.78399975585937,-107
1716735629303000000,64.901,-102
1716735629420000000,65.018,-105
1716735629536000000,65.134,-67
1716735629653000000,65.251,-93
1716735629770000000,65.36799975585937,-105
1716735629888000000,65.486,-107
1716735630004000000,65.602,-106
1716735630121000000,65.719,-108
1716735630239000000,65.837,-106
1716735630369000000,65.967,-109
1716735630488000000,66.086,-110
1716735630604000000,66.202,-52
1716735630723000000,66.321,-96
1716735630841000000,66.439,-99
1716735630963000000,66.561,-103
1716735631073000000,66.671,-104
1716735631188000000,66.786,-102
1716735631307000000,66.905,-108
1716735631424000000,67.022,-106
1716735631542000000,67.14000024414062,-65
1716735631661000000,67.259,-108
1716735631771000000,67.369,-108
1716735631890000000,67.48799975585938,-105
1716735632005000000,67.603,-103
1716735632123000000,67.721,-108
1716735632239000000,67.837,-107
1716735632361000000,67.959,-102
1716735632473000000,68.071,-107
1716735632591000000,68.189,-66
1716735632707000000,68.305,-101
1716735632822000000,68.42000024414062,-103
1716735632944000000,68.542,-110
1716735633058000000,68.65599975585937,-107
1716735633174000000,68.77200024414063,-110
1716735633290000000,68.88799975585937,-110
1716735633407000000,69.005,-106
1716735633524000000,69.122,-108
1716735633642000000,69.23999975585937,-49
1716735633761000000,69.359,-101
1716735633875000000,69.473,-108
1716735633991000000,69.589,-103
1716735634110000000,69.70800024414062,-108
1716735634224000000,69.822,-109
1716735634342000000,69.94000024414062,-106
1716735634459000000,70.057,-106
1716735634575000000,70.173,-113
1716735634691000000,70.289,-64
1716735634807000000,70.405,-109
1716735634925000000,70.523,-110
1716735635042000000,70.63999975585938,-108
1716735635163000000,70.761,-106
1716735635276000000,70.874,-107
1716735635392000000,70.99,-109
1716735635510000000,71.10800024414063,-109
1716735635626000000,71.22399975585938,-64
1716735635744000000,71.342,-90
1716735635861000000,71.459,-104
1716735635978000000,71.57599975585937,-109
1716735636093000000,71.691,-107
1716735636210000000,71.80799975585937,-109
1716735636327000000,71.925,-108
1716735636443000000,72.041,-106
1716735636564000000,72.162,-50
1716735636680000000,72.278,-79
1716735636795000000,72.393,-106
1716735636911000000,72.509,-105
1716735637026000000,72.62399975585937,-104
1716735637143000000,72.741,-104
1716735637260000000,72.858,-108
1716735637378000000,72.97599975585938,-107
1716735637494000000,73.09200024414062,-105
1716735637610000000,73.20799975585938,-108
1716735637729000000,73.327,-64
1716735637844000000,73.442,-90
1716735637964000000,73.562,-109
1716735638081000000,73.679,-107
1716735638196000000,73.794,-105
1716735638311000000,73.909,-108
1716735638428000000,74.026,-110
1716735638545000000,74.143,-105
1716735638661000000,74.259,-101
1716735638781000000,74.379,-48
1716735638894000000,74.49200024414063,-71
1716735639012000000,74.61,-107
1716735639128000000,74.726,-103
1716735639244000000,74.842,-105
1716735639363000000,74.961,-99
1716735639482000000,75.07999975585938,-102
1716735639595000000,75.193,-107
1716735639712000000,75.31,-57
1716735639830000000,75.42800024414062,-96
1716735639946000000,75.54399975585937,-105
1716735640062000000,75.66000024414062,-103
1716735640181000000,75.779,-105
1716735640298000000,75.89599975585938,-107
1716735640413000000,76.011,-105
1716735640530000000,76.12799975585938,-107
1716735640647000000,76.245,-107
1716735640763000000,76.361,-68
1716735640882000000,76.47999975585938,-108
1716735640999000000,76.597,-105
1716735641115000000,76.713,-111
1716735641230000000,76.82800024414063,-107
1716735641348000000,76.946,-108
1716735641465000000,77.063,-106
1716735641581000000,77.179,-107
1716735641701000000,77.299,-108
1716735641815000000,77.413,-110
1716735641932000000,77.53,-65
1716735642050000000,77.64799975585937,-102
1716735642165000000,77.763,-107
1716735642282000000,77.87999975585937,-107
1716735642398000000,77.99600024414063,-104
1716735642519000000,78.117,-107
1716735642632000000,78.23,-109
1716735642749000000,78.347,-107
1716735642865000000,78.463,-109
1716735642982000000,78.58000024414062,-55
1716735643100000000,78.698,-103
1716735643216000000,78.814,-108
1716735643332000000,78.93,-108
1716735643449000000,79.047,-105
1716735643566000000,79.16400024414062,-110
1716735643684000000,79.282,-106
1716735643803000000,79.401,-108
1716735643917000000,79.515,-112
1716735644035000000,79.633,-62
1716735644149000000,79.747,-100
1716735644267000000,79.865,-109
1716735644384000000,79.982,-106
1716735644502000000,80.10000024414063,-110
1716735644617000000,80.215,-107
1716735644734000000,80.33200024414063,-105
1716735644850000000,80.44799975585937,-108
1716735644970000000,80.56799975585938,-104
1716735645083000000,80.681,-60
1716735645202000000,80.79999975585937,-86
1716735645321000000,80.919,-100
1716735645434000000,81.03199975585937,-105
1716735645550000000,81.14800024414062,-107
1716735645669000000,81.267,-108
1716735645784000000,81.382,-108
1716735645904000000,81.502,-106
1716735646021000000,81.619,-106
1716735646134000000,81.73200024414062,-99
1716735646252000000,81.85,-108
1716735646369000000,81.967,-45
1716735646485000000,82.083,-93
1716735646604000000,82.202,-99
1716735646721000000,82.319,-108
1716735646837000000,82.435,-109
1716735646953000000,82.551,-103
1716735647069000000,82.667,-105
1716735647189000000,82.787,-106
1716735647305000000,82.903,-50
1716735647422000000,83.02000024414062,-74
1716735647537000000,83.135,-98
1716735647655000000,83.253,-98
1716735647773000000,83.371,-93
1716735647887000000,83.485,-96
1716735648003000000,83.601,-105
1716735648121000000,83.719,-101
1716735648239000000,83.837,-112
1716735648354000000,83.95199975585938,-54
1716735648470000000,84.06800024414062,-79
1716735648588000000,84.186,-106
1716735648707000000,84.305,-109
1716735648822000000,84.42000024414062,-109
1716735648942000000,84.54000024414063,-104
1716735649060000000,84.658,-104
1716735649171000000,84.769,-101
1716735649288000000,84.886,-106
1716735649404000000,85.002,-48
1716735649528000000,85.126,-74
1716735649638000000,85.23600024414063,-109
1716735649755000000,85.353,-109
1716735649871000000,85.469,-104
1716735649990000000,85.58800024414063,-105
1716735650107000000,85.705,-107
1716735650224000000,85.822,-109
1716735650340000000,85.938,-107
1716735650457000000,86.055,-81
1716735650573000000,86.171,-105
1716735650690000000,86.28799975585937,-107
1716735650806000000,86.40400024414062,-106
1716735650925000000,86.523,-108
1716735651041000000,86.639,-106
1716735651157000000,86.755,-108
1716735651274000000,86.87199975585938,-108
1716735651389000000,86.987,-81
1716735651505000000,87.103,-106
1716735651625000000,87.223,-109
1716735651743000000,87.341,-103
1716735651861000000,87.459,-108
1716735651975000000,87.573,-109
1716735652091000000,87.689,-106
1716735652208000000,87.806,-106
1716735652325000000,87.923,-50
1716735652443000000,88.041,-51
1716735652567000000,88.165,-95
1716735652675000000,88.273,-104
1716735652791000000,88.389,-107
1716735652910000000,88.50800024414062,-100
1716735653026000000,88.62399975585937,-110
1716735653142000000,88.74000024414063,-110
1716735653261000000,88.859,-109
1716735653375000000,88.973,-107
1716735653492000000,89.09,-66
1716735653609000000,89.207,-100
1716735653727000000,89.325,-108
1716735653846000000,89.44400024414062,-110
1716735653965000000,89.563,-107
1716735654076000000,89.674,-105
1716735654192000000,89.79,-104
1716735654310000000,89.90800024414062,-108
1716735654426000000,90.02399975585938,-109
1716735654544000000,90.142,-79
1716735654660000000,90.258,-103
1716735654777000000,90.375,-107
1716735654894000000,90.49200024414063,-106
1716735655011000000,90.609,-108
1716735655127000000,90.725,-107
1716735655248000000,90.846,-108
1716735655365000000,90.963,-109
1716735655477000000,91.075,-41
1716735655595000000,91.193,-80
1716735655711000000,91.309,-106
1716735655829000000,91.427,-110
1716735655944000000,91.542,-112
1716735656062000000,91.66000024414062,-108
1716735656180000000,91.778,-107
1716735656294000000,91.89200024414062,-109
1716735656412000000,92.01,-107
1716735656528000000,92.126,-54
1716735656647000000,92.245,-94
1716735656762000000,92.35999975585938,-110
1716735656880000000,92.478,-110
1716735656997000000,92.595,-111
1716735657113000000,92.711,-107
1716735657229000000,92.827,-103
1716735657347000000,92.945,-105
1716735657463000000,93.061,-105
1716735657581000000,93.179,-82
1716735657696000000,93.294,-103
1716735657813000000,93.411,-109
